Pincode,Place Name,Latitude,Longitude
841301,Gandhi Chowk,25.0333,88.45
841254,Jaintpur Bharwalia,25.0333,88.45
841247,Darihara,25.0333,88.45
841246,Bakerganj,25.0333,88.45
841245,Zeradei,25.0333,88.45
841244,Takipur,25.0333,88.45
841243,Sahpur(Siwan),25.0333,88.45
841242,Patarhi,25.0333,88.45
841241,Pachrukhi,25.0333,88.45
841240,Mahual Mahal,25.0333,88.45
841239,Mairwa,25.0333,88.45
841238,Maharajganj,25.0333,88.45
841237,Hussainganj,25.0333,88.45
841236,Hasanpura,25.0333,88.45
841234,Darouli (Chapra),25.0333,88.45
841233,Daronda,25.0333,88.45
841231,Andar,25.0333,88.45
841226,Agrawaltoli,25.0333,88.45
841224,Panditpur,25.0333,88.45
841220,Parsagarh,25.0333,88.45
841219,Parsa,25.0333,88.45
841218,Paiga,25.0333,88.45
841217,Nayagaon(Chapra),25.0333,88.45
841216,Naraon,25.0333,88.45
841215,Maker,25.0333,88.45
841212,Jogia,25.0333,88.45
841211,Gultenganj,25.0333,88.45
841210,Gangpur Siswan,25.0333,88.45
841208,Ekma,25.0333,88.45
841206,Dayalpur,25.0333,88.45
841205,Daudpur (Chapra),25.0333,88.45
841204,Chainwa,25.0333,88.45
841203,Chainpur (Chapra),25.0333,88.45
841105,Tarwa Mangarpal,25.0333,88.45
835306,Bhandra,23.35,84.8
835305,Kisko,23.3917,84.7417
835304,Senha,23.3917,84.7417
835302,Lohardaga,23.4333,84.6833
835301,Itki,23.3917,84.7417
835244,Lapung,22.9817,84.655
835242,Nagar,22.9817,84.655
835239,Chanho,23.15,84.5333
835238,Irba,23.15,84.5333
835235,Irba,23.15,84.5333
835234,Gobindpur,23.15,84.5333
835233,Toto,23.15,84.5333
835232,Nawagarh,23.15,84.5333
835230,Noadih,23.15,84.5333
835229,Basia,22.8833,84.8333
835228,Biru,22.6833,84.55
835227,Torpa,22.85,84.6633
835226,Thethaitanagar,22.85,84.6633
835225,Tamar,22.85,84.6633
835224,Sisai,23.1833,84.7667
835223,Simdega,22.6167,84.5167
835221,R K Mission,22.85,84.6633
835220,Palkot,22.8833,84.65
835219,Ormanjhi,23.25,84.5944
835218,Netarhat,23.4833,84.2667
835214,Mandar,23.25,84.5944
835213,Kuru,23.55,84.8167
835212,Kurdeg,23.25,84.5944
835211,Kolebira,22.7167,84.7
835209,Karra,22.6667,84.9167
835208,Ghagra,22.6667,84.9167
835207,Gumla Ho.,22.6667,84.9167
835206,Chainpur (Ranchi),22.6667,84.9167
835201,Bano,22.6667,84.9167
835104,Bermo,23.05,84.6694
835103,Tatisilwai,23.05,84.6694
834012,Harmu Housing Colony,22.7583,85.3728
834011,Hatia Railway Colony,22.7583,85.3728
834010,Namkum,22.7583,85.3728
834009,Ranchi Medical College,22.7583,85.3728
834008,Ranchi University,22.7583,85.3728
834007,Ranchi Veternary College,22.7583,85.3728
834006,Kanke,22.7583,85.3728
834005,Hehal,22.7583,85.3728
834004,Dhurwa,22.7583,85.3728
834003,Hatia,22.7583,85.3728
834002,Hinoo Ho.,22.7583,85.3728
834001,Ranchi Ho.,22.7583,85.3728
833326,Tapin,22.4742,85.5545
833233,Meghahatuburu,22.39,85.67
833222,Kriburu Base Camp,22.8,85.9667
833221,Barajamda,22.8,85.9667
833220,Sini,22.8,85.9667
833219,Sarai Kela,22.175,85.4583
833218,Noamundi Bazar,22.175,85.4583
833217,Noamundi,22.15,85.5333
833216,Kharswagarh,22.175,85.4583
833215,Jhinkpani,22.175,85.4583
833214,Hatgamharia,22.175,85.4583
833213,Gua,22.2,85.3833
833212,Danguaposi,22.175,85.4583
833203,Jagannathpur,22.2333,85.65
833202,Tata College Chaibasa,22.4,85.7333
833201,Chaibasa Ho.,22.5667,85.8167
833106,Chiria,22.3,85.2667
833105,Sonua,22.6,85.4667
833104,Manoharpur,22.3833,85.2
833103,Goilkera,22.5333,85.3833
833102,Chakradharpur,22.7,85.6333
833101,Amda,22.75,85.8
832403,Tirukdih,22.9083,86.05
832402,Kandra,22.85,86.05
832401,Chandil,22.9667,86.05
832304,Mahulia,22.65,86.4
832303,Ghatshila,22.6,86.4833
832302,Dhalbhum Garh,22.625,86.4417
832301,Chakkulia,22.625,86.4417
832113,Rajnagar,22.2833,86.7167
832112,Gobindpur(Singhbhum),22.2833,86.7167
832110,Azad Nagar,22.2833,86.7167
832109,Adityapura Ind. Area,22.2833,86.7167
832108,Gamharia (Chaibasa),22.2833,86.7167
832107,Sundernagar,22.2833,86.7167
832106,Rakha Copper Project,22.2833,86.7167
832105,Patamda,22.2833,86.7167
832104,Mosabani Mines,22.2833,86.7167
832103,Moubhandar,22.2833,86.7167
832101,Baharagora,22.2833,86.7167
831018,M.G. College,22.8167,86.1667
831017,Baridhi Colony,22.8167,86.1667
831016,Rahragora,22.8167,86.1667
831015,Gobindpur Housing Colony,22.8167,86.1667
831014,R.I.T. Jamshedpur,22.8167,86.1667
831013,Adityapur,22.8167,86.1667
831012,Mango,22.8167,86.1667
831011,Sonari,22.8167,86.1667
831010,Telco Gms Office,22.8167,86.1667
831009,Agrico,22.7667,86.1833
831008,Indra Nagar,22.7667,86.1833
831007,Burma Mines,22.7667,86.1833
831006,Jugsalai,22.7667,86.1833
831005,Kadma,22.7667,86.1833
831004,Telco Works,22.7667,86.1833
831003,Golmuri,22.7667,86.1833
831002,Tata Nagar,22.7667,86.1833
831001,Jamshedpur Ho.,22.7667,86.1833
829317,Karma,24.2333,85.2333
829211,Gomia,23.75,84.5
829210,Dakra Colliery,23.75,84.5
829207,Latehar R.S.,23.75,84.5
829206,Latehar,23.75,84.5
829204,Chipadohar,23.75,84.5
829203,Chandwa (Daltonganj),23.75,84.5
829202,Balunmath,23.75,84.5
829201,Bachra,23.75,84.5
829149,T.T.P.S. Lalpani,23.6708,85.5875
829146,Bhareet Nagar,23.6708,85.5875
829145,Sirka,23.6708,85.5875
829144,Phusru Bazar,23.6708,85.5875
829143,Balkudra,23.6708,85.5875
829141,Champi,23.6708,85.5875
829138,Tantri,23.7333,85.675
829135,Bhurkunda,23.65,85.35
829134,Sarubera,23.8167,86
829131,Sikh Regimental Centre,23.7333,85.675
829130,Punjab Regimental Centre,23.7333,85.675
829129,Tenughat Dam Project,23.6708,85.5875
829128,Swang Colliery,23.6708,85.5875
829127,Sunday Bazar,23.6708,85.5875
829126,Sounda Colliery,23.6708,85.5875
829125,Sayal,23.6708,85.5875
829124,Religarha,23.6708,85.5875
829122,Ramgarh Cantt. Ho.,23.6708,85.5875
829121,Peterbar,23.6708,85.5875
829120,Patratu Diesal Colony,23.6708,85.5875
829119,Patratu Thermal Power,23.6083,85.5
829118,Patratu,23.6667,85.2833
829117,Marar,23.6083,85.5
829116,Kathara,23.6083,85.5
829115,Kasmar,23.6083,85.5
829114,Jaridih Bazar,23.6083,85.5
829113,Jarangdih Colliery,23.6083,85.5
829112,Indian Explosive Gomia,23.6083,85.5
829110,Gola,23.55,85.7167
829109,Giddi Colliery,23.6708,85.5875
829108,Giddi,23.6708,85.5875
829106,Bhurkunda Bazar,23.6708,85.5875
829105,Bhadani Nagar,23.6708,85.5875
829103,Barkakhana Nt,23.6708,85.5875
829102,Barkakhana,23.6708,85.5875
829101,Argada,23.6708,85.5875
828504,Mugma,23.7667,86.7333
828404,Dugda Coal Washery,23.9,86.2
828403,Chandrapura,23.9,86.2
828402,Topchanchi,23.9,86.2
828311,Amlabad Colliery,23.7111,86.3833
828308,Bhatdih,23.7111,86.3833
828307,Nudkhurkee,23.7111,86.3833
828306,Nawagarh,23.7111,86.3833
828305,Mohuda,23.7111,86.3833
828304,Malkera,23.7833,86.3
828303,Bhojudih,23.6333,86.45
828302,Bhowra,23.7167,86.4
828301,Bhaga,23.7111,86.3833
828207,Maithandam,23.7667,86.3935
828206,Pancher Dam,23.7667,86.3935
828205,Nisachatti,23.7667,86.3935
828204,Muhamma,23.7667,86.3935
828203,Kumardhubi,23.7667,86.3935
828202,Chirkunda,23.7667,86.3935
828144,Tisra,23.9833,86.45
828142,Tundi,23.9833,86.45
828135,Chasnala,23.6667,86.4333
828134,Chandankiari,23.6917,86.425
828133,Bhulan Barari,23.6917,86.425
828131,Lodna,23.7167,86.4167
828129,Munidih,23.7333,86.3556
828128,Tundu,23.7833,86.25
828127,Sarai Dhela,23.7333,86.3556
828126,Sudamadih,23.7333,86.3556
828125,Sonardih,23.7333,86.3556
828123,Sindri Institute,23.7333,86.3556
828122,Sindri,23.6333,86.5
828121,Sijua,23.7833,86.3167
828120,Moti Nagar,23.7333,86.3556
828119,Patherdih,23.7333,86.4
828117,Kustone,23.7333,86.4
828116,Kusunda,23.7667,86.3833
828115,Khasjeenagora,23.7333,86.4
828114,Katras Bazar,23.7333,86.4
828113,Katras Garh,23.7333,86.4
828112,Jamadoba,23.7167,86.4
828111,Jharia,23.75,86.4
828110,Jealgora,23.7,86.4167
828109,Gobindpur,23.8333,86.5167
828108,Fuel Research Institute,23.8333,86.3444
828107,Domgarh,23.8333,86.3444
828106,Dhansar,23.8333,86.3444
828104,Bhuli,23.8333,86.3444
828103,Bhelatand,23.8333,86.3444
828102,Bhagabandh,23.8333,86.3444
828101,Gomoh,23.8667,86.1667
827014,Balidih,23.6333,86.1667
827013,Chas,23.6333,86.1667
827012,Bokaro Steel City,23.6333,86.1667
827011,Bokaro Steel City So,23.6333,86.1667
827010,Bokaro Steel City Rs,23.6333,86.1667
827009,Sector Ix Dhanbad,23.6333,86.1667
827004,Sector Iv Dhanbad,23.6333,86.1667
827003,Herla Sector Iii,23.6333,86.1667
827001,Bokaro Steel City Ho.,23.6333,86.1667
826004,Indian School Of Mines (Ism),23.908,85.4865
826003,Jagjivan Nagar,23.908,85.4865
826001,Dhanbad Ho.,23.908,85.4865
825421,Chandwara,24.3,85.2778
825420,Hunerganj,24.3,85.2778
825418,Domchanch Bazar,24.2,85.3667
825413,Tilaiyadam,24.2,85.3667
825412,Rajdhanwar,24.2,85.3667
825411,Padma,24.2,85.3667
825410,Kodarama,24.2,85.3667
825409,Jhumri Tilaiya,24.4333,85.5167
825408,Itkhori,24.2833,85.1667
825407,Domchanch,24.4833,85.7
825406,Chauparan,24.3833,85.25
825405,Barhi,24.3,85.4167
825404,Pratappur,24.3125,85.2667
825403,Jori,24.3167,84.8
825402,Ichak,24.0833,85.4167
825401,Chatra,24.2167,84.8667
825336,Charhi,23.85,85.45
825335,Pelawal,23.85,85.45
825332,Bagodar,23.85,85.45
825330,Topa,23.85,85.45
825329,Shikohabad,23.7833,85.475
825327,Jharpo,23.7833,85.475
825325,Kedla,23.7833,85.475
825324,Jai Nagar (Hazaribagh)),23.7833,85.475
825321,Tandwa (Hazaribag),23.7833,85.475
825320,Suriya,23.7833,85.475
825319,Reformatory School,23.7167,85.5
825318,Palaunjia,23.7167,85.5
825317,Bsf Meerut,23.7167,85.5
825316,Kuju,23.7167,85.5
825315,Konar Dam,23.7167,85.5
825314,Ghatotand,23.7167,85.5
825313,Daroo,23.7167,85.5
825301,Hazaribagh Ho.,23.7833,85.475
825223,Barkatha,24.1048,85.3345
825108,Pirtand,23.7333,85.4111
825107,Ishri Bazar,23.7333,85.4111
825103,Simaria,24.0667,84.9333
825102,Dhori,23.7333,85.4111
825101,Chitarpur,23.5667,85.65
824303,Nabinagar Rd,22.3333,74.1167
824302,Tandwa(Gaya),22.3333,74.1167
824301,Nabinagar,22.3333,74.1167
824237,Cherki,22.3333,74.1167
824236,Tekari,22.3333,74.1167
824234,Magadh University,22.3333,74.1167
824232,Fatehpur (Gaya),22.3333,74.1167
824217,Bankey Bazar,22.3333,74.1167
824211,Gola Bazar Sherghati,22.3333,74.1167
824209,Paraiya,22.3333,74.1167
824208,Madanpur (Gaya),22.3333,74.1167
824206,Imamganj,22.3333,74.1167
824202,Deo,22.3333,74.1167
824201,Barachatti,22.3333,74.1167
824127,Kaler,22.3333,74.1167
824126,Anti,22.3333,74.1167
824125,Rafiganj,22.3333,74.1167
824124,Obra,22.3333,74.1167
824122,Jakhim,22.3333,74.1167
824121,Jamhore,22.3333,74.1167
824120,Haspura,22.3333,74.1167
824119,Harihar Ganj,22.3333,74.1167
824114,Deohara,22.3333,74.1167
824113,Daudnagar,22.3333,74.1167
824111,Amba,22.3333,74.1167
823005,Asc Centre (Gaya),24.8667,92.35
823004,Gaya,24.8667,92.35
823002,Gaya R S,24.8667,92.35
823001,Karimganj,24.8667,92.35
822141,Rajhara,24.1833,84.0333
822138,Manjhiaon,24.1167,84.1238
822133,Chinanki,24.1167,84.1238
822131,Shahpur(Daltonganj),24.1167,84.1238
822129,Bhawnathpur Township,24.1042,84.1333
